"city","year","isocode","continent","latitude","longitude","city_population","ln_city_population","ln_wpot","post","ln_wpot_post","ln_oworld","ln_tropics","ln_elevation","ln_rugged","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900"
"Angers",1850,"FRA","Europe",47.4599990844727,-0.540000021457672,43000,10.6689558029175,9.5455846786499,1,9.5455846786499,10.2325038909912,9.4796781539917,5.13925266265869,2.01300549507141,0,0,0,0,0,0,0,0,0,0,1,0
"Angers",1900,"FRA","Europe",47.4599990844727,-0.540000021457672,82000,11.314474105835,9.5455846786499,1,9.5455846786499,10.2325038909912,9.4796781539917,5.13925266265869,2.01300549507141,0,0,0,0,0,0,0,0,0,0,0,1
"Anhilvada",1000,"IND","Asia",23.8500003814697,72.1100006103516,1e+05,11.5129251480103,0,0,0,9.13194751739502,10.3551025390625,5.74240970611572,1.60943794250488,1,0,0,0,0,0,0,0,0,0,0,0
"Anhilvada",1100,"IND","Asia",23.8500003814697,72.1100006103516,1e+05,11.5129251480103,0,0,0,9.13194751739502,10.3551025390625,5.74240970611572,1.60943794250488,0,1,0,0,0,0,0,0,0,0,0,0
"Anhilvada",1300,"IND","Asia",23.8500003814697,72.1100006103516,50000,10.8197784423828,0,0,0,9.13194751739502,10.3551025390625,5.74240970611572,1.60943794250488,0,0,0,1,0,0,0,0,0,0,0,0
"Anhilvada",1400,"IND","Asia",23.8500003814697,72.1100006103516,60000,11.0020999908447,0,0,0,9.13194751739502,10.3551025390625,5.74240970611572,1.60943794250488,0,0,0,0,1,0,0,0,0,0,0,0
"Anking",1850,"CHN","Asia",30.5900001525879,117.110000610352,40000,10.5966348648071,0,1,0,9.56545543670654,8.48347473144531,6.75764751434326,2.7607798576355,0,0,0,0,0,0,0,0,0,0,1,0
"Anking",1900,"CHN","Asia",30.5900001525879,117.110000610352,70000,11.1562509536743,0,1,0,9.56545543670654,8.48347473144531,6.75764751434326,2.7607798576355,0,0,0,0,0,0,0,0,0,0,0,1
"Antwerp",1600,"BEL","Europe",51.2200012207031,4.3899998664856,49000,10.7995758056641,9.33684635162354,0,0,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,1,0,0,0,0,0
"Antwerp",1700,"BEL","Europe",51.2200012207031,4.3899998664856,67000,11.1124477386475,9.33684635162354,0,0,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,0,1,0,0,0,0
"Antwerp",1750,"BEL","Europe",51.2200012207031,4.3899998664856,43000,10.6689558029175,9.33684635162354,1,9.33684635162354,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,0,0,1,0,0,0
"Antwerp",1800,"BEL","Europe",51.2200012207031,4.3899998664856,53000,10.8780469894409,9.33684635162354,1,9.33684635162354,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,0,0,0,1,0,0
"Antwerp",1850,"BEL","Europe",51.2200012207031,4.3899998664856,103000,11.5424842834473,9.33684635162354,1,9.33684635162354,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,0,0,0,0,1,0
"Antwerp",1900,"BEL","Europe",51.2200012207031,4.3899998664856,361000,12.7966327667236,9.33684635162354,1,9.33684635162354,9.98134708404541,0,4.39568281173706,1.4687796831131,0,0,0,0,0,0,0,0,0,0,0,1
"Arad",1900,"ROU","Europe",46.2900009155273,21.7600002288818,53000,10.8780469894409,9.36327648162842,1,9.36327648162842,10.1853103637695,0,6.31797933578491,2.46425461769104,0,0,0,0,0,0,0,0,0,0,0,1
"Arnhem",1900,"NLD","Europe",51.9700012207031,5.90999984741211,57000,10.9508066177368,8.49956512451172,1,8.49956512451172,9.79551029205322,0,3.96959280967712,0.761970460414886,0,0,0,0,0,0,0,0,0,0,0,1
"Arrah",1900,"IND","Asia",25.5499992370605,84.6600036621094,45000,10.7144174575806,0,1,0,9.75629138946533,10.3551025390625,4.86997890472412,0.745332956314087,0,0,0,0,0,0,0,0,0,0,0,1
"Astrakhan",1850,"RUS","Asia",46.3499984741211,48.0499992370605,44000,10.6919450759888,0,1,0,0,0,NA,0.969117164611816,0,0,0,0,0,0,0,0,0,0,1,0
"Astrakhan",1900,"RUS","Asia",46.3499984741211,48.0499992370605,121000,11.7035455703735,0,1,0,0,0,NA,0.969117164611816,0,0,0,0,0,0,0,0,0,0,0,1
"Asyut",1900,"EGY","Africa",27.1900005340576,31.1800003051758,42000,10.6454248428345,0,1,0,0,10.3551025390625,5.83281517028809,2.63752198219299,0,0,0,0,0,0,0,0,0,0,0,1
"Athens",1900,"GRC","Asia",37.9700012207031,23.7099990844727,181000,12.1062526702881,7.69717407226562,1,7.69717407226562,9.40978050231934,10.3551025390625,6.73580837249756,3.4417200088501,0,0,0,0,0,0,0,0,0,0,0,1
"Auckland",1900,"NZL","Australian Area",-36.8400001525879,174.759994506836,65000,11.082142829895,0,1,0,9.63698673248291,10.3551025390625,5.92819213867188,2.58155059814453,0,0,0,0,0,0,0,0,0,0,0,1
"Augsburg",1600,"DEU","Europe",48.3600006103516,10.8900003433228,42000,10.6454248428345,10.2204008102417,0,0,10.2467374801636,0,6.62007331848145,2.58556485176086,0,0,0,0,0,0,1,0,0,0,0,0
"Augsburg",1900,"DEU","Europe",48.3600006103516,10.8900003433228,102000,11.5327281951904,10.2204008102417,1,10.2204008102417,10.2467374801636,0,6.62007331848145,2.58556485176086,0,0,0,0,0,0,0,0,0,0,0,1
"Aurangabad",1700,"IND","Asia",19.8799991607666,75.3099975585938,2e+05,12.206072807312,0,0,0,0,10.3551025390625,6.57532501220703,2.22642374038696,0,0,0,0,0,0,0,1,0,0,0,0
"Avignon",1900,"FRA","Europe",43.939998626709,4.80000019073486,46000,10.7363967895508,9.05277442932129,1,9.05277442932129,9.69219875335693,10.2497453689575,6.81713390350342,3.03037118911743,0,0,0,0,0,0,0,0,0,0,0,1
"Baghdad",1000,"IRQ","Asia",33.310001373291,44.3899993896484,125000,11.7360687255859,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,1,0,0,0,0,0,0,0,0,0,0,0
"Baghdad",1100,"IRQ","Asia",33.310001373291,44.3899993896484,150000,11.9183902740479,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,1,0,0,0,0,0,0,0,0,0,0
"Baghdad",1200,"IRQ","Asia",33.310001373291,44.3899993896484,1e+05,11.5129251480103,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,1,0,0,0,0,0,0,0,0,0
"Baghdad",1300,"IRQ","Asia",33.310001373291,44.3899993896484,40000,10.5966348648071,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,1,0,0,0,0,0,0,0,0
"Baghdad",1400,"IRQ","Asia",33.310001373291,44.3899993896484,90000,11.4075651168823,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,0,1,0,0,0,0,0,0,0
"Baghdad",1700,"IRQ","Asia",33.310001373291,44.3899993896484,50000,10.8197784423828,0,0,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,0,0,0,0,1,0,0,0,0
"Baghdad",1750,"IRQ","Asia",33.310001373291,44.3899993896484,65000,11.082142829895,0,1,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,0,0,0,0,0,1,0,0,0
"Baghdad",1800,"IRQ","Asia",33.310001373291,44.3899993896484,80000,11.2897815704346,0,1,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,0,0,0,0,0,0,1,0,0
"Baghdad",1900,"IRQ","Asia",33.310001373291,44.3899993896484,145000,11.8844890594482,0,1,0,0,10.3551025390625,3.88328051567078,1.34394073486328,0,0,0,0,0,0,0,0,0,0,0,1
"Baku",1900,"AZE","Asia",40.3800010681152,49.8899993896484,179000,12.0951414108276,0,1,0,9.56190967559814,0,6.02405261993408,2.66072559356689,0,0,0,0,0,0,0,0,0,0,0,1
"Ballarat",1900,"AUS","Australian Area",-37.560001373291,143.860000610352,43000,10.6689558029175,8.56632995605469,1,8.56632995605469,9.86212921142578,10.3551025390625,6.04472970962524,1.90174341201782,0,0,0,0,0,0,0,0,0,0,0,1
"Bamberg",1900,"DEU","Europe",49.8899993896484,10.8800001144409,41000,10.6213274002075,9.85159683227539,1,9.85159683227539,10.0452079772949,0,6.42724943161011,2.72718501091003,0,0,0,0,0,0,0,0,0,0,0,1
"Bangalore",1800,"IND","Asia",12.9700002670288,77.5899963378906,50000,10.8197784423828,0,1,0,9.92749214172363,10.3551025390625,7.0541615486145,2.44728016853333,0,0,0,0,0,0,0,0,0,1,0,0
"Bangalore",1850,"IND","Asia",12.9700002670288,77.5899963378906,130000,11.7752895355225,0,1,0,9.92749214172363,10.3551025390625,7.0541615486145,2.44728016853333,0,0,0,0,0,0,0,0,0,0,1,0
"Bangalore",1900,"IND","Asia",12.9700002670288,77.5899963378906,161000,11.9891595840454,0,1,0,9.92749214172363,10.3551025390625,7.0541615486145,2.44728016853333,0,0,0,0,0,0,0,0,0,0,0,1
"Bangkok",1800,"THA","Asia",13.8199996948242,100.660003662109,45000,10.7144174575806,0,1,0,10.2736434936523,10.3551025390625,6.08645009994507,1.56094360351562,0,0,0,0,0,0,0,0,0,1,0,0
"Bangkok",1850,"THA","Asia",13.8199996948242,100.660003662109,158000,11.9703502655029,0,1,0,10.2736434936523,10.3551025390625,6.08645009994507,1.56094360351562,0,0,0,0,0,0,0,0,0,0,1,0
"Bangkok",1900,"THA","Asia",13.8199996948242,100.660003662109,267000,12.4950037002563,0,1,0,10.2736434936523,10.3551025390625,6.08645009994507,1.56094360351562,0,0,0,0,0,0,0,0,0,0,0,1
"Barcelona",1700,"ESP","Europe",41.3800010681152,2.16000008583069,43000,10.6689558029175,6.21923351287842,0,0,9.91021347045898,10.3551025390625,6.92776775360107,3.14479660987854,0,0,0,0,0,0,0,1,0,0,0,0
"Barcelona",1750,"ESP","Europe",41.3800010681152,2.16000008583069,55000,10.9150886535645,6.21923351287842,1,6.21923351287842,9.91021347045898,10.3551025390625,6.92776775360107,3.14479660987854,0,0,0,0,0,0,0,0,1,0,0,0
"Barcelona",1800,"ESP","Europe",41.3800010681152,2.16000008583069,113000,11.6351432800293,6.21923351287842,1,6.21923351287842,9.91021347045898,10.3551025390625,6.92776775360107,3.14479660987854,0,0,0,0,0,0,0,0,0,1,0,0
"Barcelona",1850,"ESP","Europe",41.3800010681152,2.16000008583069,166000,12.0197429656982,6.21923351287842,1,6.21923351287842,9.91021347045898,10.3551025390625,6.92776775360107,3.14479660987854,0,0,0,0,0,0,0,0,0,0,1,0
