"isocode","country","year","population","city_population","ln_population","city_pop_share","total_land_area","ln_wpot","post","ln_wpot_post","ln_all","ln_nworld","ln_oworld","ln_spot","ln_silagemaize","ln_maize","ln_cassava","cont_africa","cont_asia","cont_europe","cont_oceania","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","ln_rugged","ln_tropical","ln_elevation","ln_disteq","malaria","ln_dist_coast","roman","protestant","attrade","ln_export","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900","wpot_lr_vs_mars","all_lr_vs_mars","ln_wpot_ver2","ln_wpot_ver3","lat","lon"
"ESP","Spain",1800,11500000,739000,16.2578582763672,0.064260870218277,50909,6.21059989929199,1,6.21059989929199,8.65154933929443,6.23636960983276,8.59729766845703,0,6.23636960983276,6.09582471847534,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.524224400520325,0,6.52489900588989,3.69462609291077,0.10747738057953,4.88636493682861,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2923,3621,7.57763385772705,6.99668169021606,40.2305297851562,-3.6437656879425
"EST","Estonia",1800,275240.808725357,0,12.5254049301147,0,4493,7.1731915473938,1,7.1731915473938,7.53529691696167,7.1731915473938,7.41938066482544,0,6.44094657897949,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-2.09859728813171,0,4.04811954498291,4.07198286056519,0,4.91114091873169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1409,2070,7.25063562393188,7.17395830154419,58.6731796264648,25.5494728088379
"ETH","Ethiopia",1800,2825089.69306946,0,14.8540506362915,0,112895,8.12118339538574,1,8.12118339538574,10.2397813796997,9.67438888549805,9.5079231262207,8.23323726654053,0,9.67438888549805,8.2761402130127,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.450824528932571,10.4119472503662,7.13770294189453,2.15430569648743,2.03005637458633,6.14713382720947,0,0,0,11.8727121353149,0,0,0,0,0,0,0,0,0,1,0,0,7135,26203,8.69047355651855,8.36240863800049,8.62190246582031,39.6358222961426
"FIN","Finland",1800,800000.011920929,0,13.5923681259155,0,33078,6.87523221969604,1,6.87523221969604,8.55101490020752,6.87523221969604,7.98922157287598,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.11579406261444,0,5.08248519897461,4.16637802124023,0,5.78478860855103,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6492,9627,9.03610610961914,7.51643323898315,64.4814758300781,26.2398624420166
"FJI","Fiji",1800,162.207230459899,0,5.09502077102661,0,1815,0,1,0,4.61512041091919,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.33356249332428,7.50439167022705,5.25877380371094,2.85917973518372,0,2.28258657455444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,444,0,0,-17.4472103118896,161.987823486328
"FRA","France",1800,2.9e+07,1128000,17.1828060150146,0.0388965532183647,54550,9.61346912384033,1,9.61346912384033,10.3476285934448,9.61346912384033,10.2840795516968,0,9.106201171875,8.32700061798096,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.093202069401741,0,5.84281444549561,3.840744972229,0.00568272760654926,5.15329790115356,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24722,28363,10.0331115722656,9.94625949859619,46.5601425170898,2.55128526687622
"GAB","Gabon",1800,171726.077795029,0,12.0536613464355,0,26486,0,1,0,9.40615367889404,8.57828807830811,9.0870418548584,8.24983692169189,0,0,8.57828807830811,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.52552139759064,10.1844091415405,5.91106081008911,-0.473724633455276,11.2667485442859,5.27854871749878,0,0,0,5.69925594329834,0,0,0,0,0,0,0,0,0,1,0,0,0,19884,0,0,-0.622678697109222,11.7837409973145
"GBR","United Kingdom",1800,15116080.2841187,1498000,16.5312690734863,0.099099762737751,24418,8.13476085662842,1,8.13476085662842,9.26643753051758,8.16706848144531,9.22847461700439,0,8.16706848144531,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.564923346042633,0,5.04041957855225,3.99176120758057,0,3.55989193916321,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6811,14548,8.81433010101318,8.47156810760498,54.1501693725586,-2.90115547180176
"GHA","Ghana",1800,1815657.13882446,40000,14.411958694458,0.0220305919647217,24181,0,1,0,9.71625423431396,9.19766044616699,9.52471351623535,9.19766044616699,0,8.59544944763184,9.19034194946289,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.48038876056671,10.0933637619019,5.22201681137085,2.07477641105652,23.2457591243239,5.64942646026611,0,0,0,13.3371391296387,0,0,0,0,0,0,0,0,0,1,0,0,0,16973,0,0,7.96276617050171,-1.20776760578156
"GIN","Guinea",1800,906931.757926941,0,13.7178239822388,0,24602,0,1,0,9.08228015899658,8.80177021026611,8.92731380462646,8.79603672027588,0,8.43272399902344,8.80177021026611,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.301454037427902,10.1106233596802,6.11068439483643,2.34514546394348,16.0212257203175,5.57564401626587,0,0,0,11.7373924255371,0,0,0,0,0,0,0,0,0,1,0,0,0,12650,0,0,10.4347906112671,-10.9385948181152
"GMB","Gambia",1800,101706.869900227,0,11.5298595428467,0,1092,0,1,0,6.21059989929199,6.12905025482178,5.18178367614746,5.18738603591919,0,6.12905025482178,2.19722461700439,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.0412255525589,6.88423538208008,3.20019316673279,2.5987229347229,16.2553176275999,3.98280906677246,0,0,0,8.30381488800049,0,0,0,0,0,0,0,0,0,1,0,0,0,770,0,0,13.4465560913086,-15.3882780075073
"GNB","Guinea-Bissau",1800,174804.180860519,0,12.0714273452759,0,3369,0,1,0,7.16317224502563,6.98286294937134,6.28971576690674,6.15697908401489,0,6.98286294937134,5.66296052932739,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.711281418800354,8.12266826629639,3.60805988311768,2.48600149154663,11.2187595822099,3.83298230171204,0,0,0,10.1131610870361,0,0,0,0,0,0,0,0,0,1,0,0,0,2150,0,0,12.0131464004517,-14.9871282577515
"GNQ","Equatorial Guinea",1800,82580.8346271515,0,11.3215446472168,0,2681,0,1,0,7.04141187667847,3.49650764465332,6.08221912384033,3.04452252388,0,0,3.49650764465332,1,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.580727458000183,7.89431810379028,6.18544912338257,0.532279431819916,14.4937516802196,4.25072383880615,0,0,0,0.722814917564392,0,0,0,0,0,0,0,0,0,1,0,0,0,1859,0,0,1.70280933380127,10.3345394134521
