"city","isocode","continent","latitude","longitude","year","ln_city_population","ln_wpot","post","ln_wpot_post","ln_oworld","ln_tropics","ln_elevation","ln_rugged","ydum1000","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ln_wpot_1000","ln_oworld_1000","ln_tropics_1000","ln_rugged_1000","ln_elevation_1000","ln_wpot_1200","ln_oworld_1200","ln_tropics_1200","ln_rugged_1200","ln_elevation_1200","ln_wpot_1300","ln_oworld_1300","ln_tropics_1300","ln_rugged_1300","ln_elevation_1300","ln_wpot_1400","ln_oworld_1400","ln_tropics_1400","ln_rugged_1400","ln_elevation_1400","ln_wpot_1500","ln_oworld_1500","ln_tropics_1500","ln_rugged_1500","ln_elevation_1500","ln_wpot_1600","ln_oworld_1600","ln_tropics_1600","ln_rugged_1600","ln_elevation_1600","ln_wpot_1700","ln_oworld_1700","ln_tropics_1700","ln_rugged_1700","ln_elevation_1700","ln_wpot_1750","ln_oworld_1750","ln_tropics_1750","ln_rugged_1750","ln_elevation_1750","ln_wpot_1800","ln_oworld_1800","ln_tropics_1800","ln_rugged_1800","ln_elevation_1800","ln_wpot_1850","ln_oworld_1850","ln_tropics_1850","ln_rugged_1850","ln_elevation_1850"
"aarhus","DNK","Europe",56.1500015258789,10.210000038147,1600,8.51719284057617,10.239107131958,0,0,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239107131958,10.0550088882446,0,1.7898120880127,4.66278839111328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aarhus","DNK","Europe",56.1500015258789,10.210000038147,1700,8.00636768341064,10.239107131958,0,0,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239107131958,10.0550088882446,0,1.7898120880127,4.66278839111328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aarhus","DNK","Europe",56.1500015258789,10.210000038147,1750,8.29404926300049,10.239107131958,1,10.239107131958,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239107131958,10.0550088882446,0,1.7898120880127,4.66278839111328,0,0,0,0,0,0,0,0,0,0
"aarhus","DNK","Europe",56.1500015258789,10.210000038147,1800,8.29404926300049,10.239107131958,1,10.239107131958,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239107131958,10.0550088882446,0,1.7898120880127,4.66278839111328,0,0,0,0,0
"aarhus","DNK","Europe",56.1500015258789,10.210000038147,1850,8.98719692230225,10.239107131958,1,10.239107131958,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239107131958,10.0550088882446,0,1.7898120880127,4.66278839111328
"aarschot","BEL","Europe",50.9799995422363,4.82999992370605,1800,8.00636768341064,9.39851093292236,1,9.39851093292236,10.0330305099487,0,5.45991277694702,1.92410409450531,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39851093292236,10.0330305099487,0,1.92410409450531,5.45991277694702,0,0,0,0,0
"aarschot","BEL","Europe",50.9799995422363,4.82999992370605,1850,8.29404926300049,9.39851093292236,1,9.39851093292236,10.0330305099487,0,5.45991277694702,1.92410409450531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39851093292236,10.0330305099487,0,1.92410409450531,5.45991277694702
"abbeville","FRA","Europe",49.2000007629395,5.84999990463257,1700,9.61580562591553,9.91358947753906,0,0,10.2262735366821,0,6.03797483444214,2.57163953781128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91358947753906,10.2262735366821,0,2.57163953781128,6.03797483444214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abbeville","FRA","Europe",49.2000007629395,5.84999990463257,1750,9.74096870422363,9.91358947753906,1,9.91358947753906,10.2262735366821,0,6.03797483444214,2.57163953781128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91358947753906,10.2262735366821,0,2.57163953781128,6.03797483444214,0,0,0,0,0,0,0,0,0,0
"abbeville","FRA","Europe",49.2000007629395,5.84999990463257,1800,9.79812717437744,9.91358947753906,1,9.91358947753906,10.2262735366821,0,6.03797483444214,2.57163953781128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91358947753906,10.2262735366821,0,2.57163953781128,6.03797483444214,0,0,0,0,0
